qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1222734,66746,1289480
fc_a_001,ABD,7403,384,7787
fc_a_002,ABD,6036,664,6700
fc_a_003,A,10640,1129,11769
fc_a_004,AD,8720,434,9154
fc_a_005,ABD,7993,467,8460
fc_a_006,A,4996,411,5407
fc_a_007,BD,10541,578,11119
fc_a_008,B,11171,1137,12308
fc_a_009,ABD,8834,499,9333
fc_a_010,A,5751,245,5996
fc_a_011,AB,7182,373,7555
fc_a_012,ACD,10476,465,10941
fc_a_013,A,15050,1239,16289
fc_a_014,A,14732,693,15425
fc_a_015,B,7016,457,7473
fc_a_016,ABC,13389,1232,14621
fc_a_017,AD,11500,520,12020
fc_a_018,A,18101,771,18872
fc_a_019,AB,13301,909,14210
fc_a_020,ABD,12356,577,12933
fin_a_001,AB,8911,519,9430
fin_a_002,ABD,11056,530,11586
fin_a_003,A,8207,388,8595
fin_a_004,ABD,20318,995,21313
fin_a_005,ABD,17041,600,17641
fin_a_006,A,7532,716,8248
fin_a_007,ABD,15292,973,16265
fin_a_008,D,19041,591,19632
fin_a_009,ABC,17082,592,17674
fin_a_010,A,19868,4622,24490
fin_a_011,ACD,11183,787,11970
fin_a_012,ABD,9068,552,9620
fin_a_013,A,9510,262,9772
fin_a_014,AB,19491,2022,21513
fin_a_015,B,23138,533,23671
fin_a_016,ABD,9408,443,9851
fin_a_017,AC,11059,408,11467
fin_a_018,A,19920,680,20600
fin_a_019,AB,11253,429,11682
fin_a_020,AB,21698,616,22314
ins_a_001,B,16461,1196,17657
ins_a_002,A,8465,457,8922
ins_a_003,A,26629,780,27409
ins_a_004,A,13284,1228,14512
ins_a_005,ABCD,16768,657,17425
ins_a_006,C,15820,1226,17046
ins_a_007,BC,16786,639,17425
ins_a_008,AC,21302,792,22094
ins_a_009,C,11569,522,12091
ins_a_010,AB,13437,1006,14443
ins_a_011,BC,11703,425,12128
ins_a_012,A,17640,685,18325
ins_a_013,A,8556,431,8987
ins_a_014,AB,22997,768,23765
ins_a_015,AB,18209,1641,19850
ins_a_016,CD,20041,850,20891
ins_a_017,ABCD,12031,543,12574
ins_a_018,BCD,16051,638,16689
ins_a_019,ABD,14089,688,14777
ins_a_020,D,16286,1409,17695
reg_a_001,ACD,8814,569,9383
reg_a_002,ABC,4528,406,4934
reg_a_003,A,5265,280,5545
reg_a_004,ABC,10151,470,10621
reg_a_005,ABC,5790,461,6251
reg_a_006,A,5108,244,5352
reg_a_007,ACD,6575,378,6953
reg_a_008,A,10423,699,11122
reg_a_009,ABD,5690,396,6086
reg_a_010,B,6623,230,6853
reg_a_011,ACD,12329,576,12905
reg_a_012,ABD,9897,527,10424
reg_a_013,A,9362,414,9776
reg_a_014,ABD,4517,796,5313
reg_a_015,C,4317,383,4700
reg_a_016,ABD,9328,586,9914
reg_a_017,ABC,12129,744,12873
reg_a_018,A,5565,280,5845
reg_a_019,ABD,6894,513,7407
reg_a_020,ABD,5072,334,5406
res_a_001,ABC,8418,442,8860
res_a_002,ABC,14177,632,14809
res_a_003,A,15486,656,16142
res_a_004,ABC,9699,428,10127
res_a_005,ABC,8619,394,9013
res_a_006,A,10537,217,10754
res_a_007,ABC,9863,538,10401
res_a_008,A,12541,562,13103
res_a_009,ABC,16068,451,16519
res_a_010,A,13586,396,13982
res_a_011,ABC,16536,462,16998
res_a_012,ABC,7344,371,7715
res_a_013,B,8643,281,8924
res_a_014,ABC,8845,418,9263
res_a_015,A,15966,476,16442
res_a_016,ACD,18137,566,18703
res_a_017,ABD,16460,618,17078
res_a_018,B,10180,203,10383
res_a_019,AB,28825,1195,30020
res_a_020,AD,11039,1131,12170
