qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1180252,63380,1243632
fc_a_001,AD,7179,462,7641
fc_a_002,AD,5812,2677,8489
fc_a_003,B,11095,434,11529
fc_a_004,AD,8571,985,9556
fc_a_005,ABD,7765,460,8225
fc_a_006,A,6213,444,6657
fc_a_007,BD,10541,562,11103
fc_a_008,B,11177,1236,12413
fc_a_009,ABD,8620,483,9103
fc_a_010,A,5907,250,6157
fc_a_011,ABD,7192,449,7641
fc_a_012,ACD,14435,718,15153
fc_a_013,A,8217,294,8511
fc_a_014,A,14297,665,14962
fc_a_015,B,7016,566,7582
fc_a_016,ABC,13468,1146,14614
fc_a_017,AD,10677,519,11196
fc_a_018,A,20432,479,20911
fc_a_019,BD,12481,536,13017
fc_a_020,ABD,11231,2625,13856
fin_a_001,AB,8953,499,9452
fin_a_002,ABD,10894,536,11430
fin_a_003,A,8662,310,8972
fin_a_004,BD,19251,764,20015
fin_a_005,AB,17728,608,18336
fin_a_006,A,6694,281,6975
fin_a_007,ABD,8083,494,8577
fin_a_008,A,18470,531,19001
fin_a_009,ABC,16216,685,16901
fin_a_010,B,19296,544,19840
fin_a_011,ACD,10853,866,11719
fin_a_012,BCD,8909,1454,10363
fin_a_013,A,18118,719,18837
fin_a_014,B,15654,563,16217
fin_a_015,B,22726,525,23251
fin_a_016,ABD,9168,440,9608
fin_a_017,AC,11016,408,11424
fin_a_018,A,9538,245,9783
fin_a_019,AB,11065,429,11494
fin_a_020,B,21198,588,21786
ins_a_001,B,8232,897,9129
ins_a_002,A,8550,488,9038
ins_a_003,D,26693,795,27488
ins_a_004,A,13284,627,13911
ins_a_005,ABCD,16768,554,17322
ins_a_006,C,15829,1328,17157
ins_a_007,BC,16786,581,17367
ins_a_008,AC,21302,720,22022
ins_a_009,A,15961,663,16624
ins_a_010,B,13437,1144,14581
ins_a_011,BC,11703,436,12139
ins_a_012,A,17640,731,18371
ins_a_013,A,8556,412,8968
ins_a_014,AB,22997,780,23777
ins_a_015,AB,18209,1820,20029
ins_a_016,CD,20041,732,20773
ins_a_017,ABCD,8171,433,8604
ins_a_018,BCD,16051,717,16768
ins_a_019,AB,14089,651,14740
ins_a_020,D,16286,1554,17840
reg_a_001,AC,8814,541,9355
reg_a_002,ABC,4528,405,4933
reg_a_003,A,4645,176,4821
reg_a_004,ABC,10151,499,10650
reg_a_005,ABC,5790,477,6267
reg_a_006,A,4809,225,5034
reg_a_007,ACD,6555,378,6933
reg_a_008,A,10423,544,10967
reg_a_009,ABD,5690,422,6112
reg_a_010,B,5518,287,5805
reg_a_011,ACD,11531,506,12037
reg_a_012,ABD,9897,560,10457
reg_a_013,A,4038,220,4258
reg_a_014,ABD,4517,540,5057
reg_a_015,C,4317,409,4726
reg_a_016,ABD,9328,611,9939
reg_a_017,ABC,13168,697,13865
reg_a_018,A,4918,221,5139
reg_a_019,ABD,6897,495,7392
reg_a_020,ABD,5078,335,5413
res_a_001,ABC,8424,466,8890
res_a_002,AC,15396,850,16246
res_a_003,A,15486,810,16296
res_a_004,ABC,9739,447,10186
res_a_005,ABC,8646,397,9043
res_a_006,A,11121,217,11338
res_a_007,AB,10353,799,11152
res_a_008,A,12559,564,13123
res_a_009,ABC,15648,443,16091
res_a_010,A,12854,406,13260
res_a_011,ABC,16353,463,16816
res_a_012,ABC,10450,926,11376
res_a_013,B,8765,273,9038
res_a_014,ABC,8848,450,9298
res_a_015,A,15966,478,16444
res_a_016,ACD,18065,538,18603
res_a_017,AD,8425,918,9343
res_a_018,A,12429,235,12664
res_a_019,A,12845,745,13590
res_a_020,AC,21865,865,22730
